0,1
Karenberg,"           city                 date   fare        ride_id  driver_count  \
1254  Karenberg  2018-03-11 17:26:12  36.15  7796761531541            22   
1255  Karenberg  2018-04-29 20:54:19  28.41  9052850267417            22   
1256  Karenberg  2018-03-30 11:38:39  24.64  4539326805168            22   
1257  Karenberg  2018-03-05 01:38:53  44.10  9226782716583            22   
1258  Karenberg  2018-04-27 14:57:38  44.73  3800715746753            22   
1259  Karenberg  2018-04-07 16:28:35  16.11  4806086618308            22   
1260  Karenberg  2018-04-23 21:11:11  26.92  9685096099889            22   
1261  Karenberg  2018-02-14 14:40:41  11.06  4344963104211            22   
1262  Karenberg  2018-03-09 14:47:25  35.68  8631752660819            22   
1263  Karenberg  2018-01-16 13:52:57  41.26  3357149373173            22   
1264  Karenberg  2018-02-18 19:28:12  44.08  7216870520002            22   
1265  Karenberg  2018-01-08 13:51:01   9.50  1452908053234            22   
1266  Karenberg  2018-01-30 10:51:26   8.79  3832465976005            22   
1267  Karenberg  2018-04-30 21:38:38   5.70  7644517011765            22   
1268  Karenberg  2018-04-13 05:14:30  23.73   405640953288            22   
1269  Karenberg  2018-04-24 12:57:40  34.67  6995539608497            22   
1270  Karenberg  2018-02-19 16:11:56  12.25  3871929479027            22   

       type  
1254  Urban  
1255  Urban  
1256  Urban  
1257  Urban  
1258  Urban  
1259  Urban  
1260  Urban  
1261  Urban  
1262  Urban  
1263  Urban  
1264  Urban  
1265  Urban  
1266  Urban  
1267  Urban  
1268  Urban  
1269  Urban  
1270  Urban  "
Karenside,"           city                 date   fare        ride_id  driver_count  \
1389  Karenside  2018-01-25 15:35:18  14.52  2652359361585             5   
1390  Karenside  2018-04-02 19:22:47  41.93  4093612247143             5   
1391  Karenside  2018-04-19 10:17:18  36.01  1322743709668             5   
1392  Karenside  2018-04-14 05:11:17  13.13  3659608833762             5   
1393  Karenside  2018-01-22 13:11:13  24.72  5326728612017             5   
1394  Karenside  2018-03-18 12:48:08  36.96  7605140597934             5   
1395  Karenside  2018-03-09 03:50:21  40.86  1757540646784             5   
1396  Karenside  2018-01-27 08:52:04   7.65   473229767373             5   
1397  Karenside  2018-01-08 08:49:26  22.64  2411622219363             5   
1398  Karenside  2018-03-11 16:18:17  44.29  3269160721454             5   
1399  Karenside  2018-04-16 23:13:24  39.32  3155939101247             5   
1400  Karenside  2018-03-14 17:07:27  16.31  8818349412178             5   
1401  Karenside  2018-04-28 02:38:11  39.41  4711188257853             5   
1402  Karenside  2018-05-03 15:31:44  32.68  9194164542801             5   
1403  Karenside  2018-02-12 20:45:11  25.58  6569017784661             5   
1404  Karenside  2018-04-04 14:32:35  42.27  6771503242603             5   
1405  Karenside  2018-01-24 07:48:14   9.39  4829062946394             5   
1406  Karenside  2018-02-24 05:39:00  27.64  8058212392569             5   
1407  Karenside  2018-01-23 23:30:37  37.62  1952933579896             5   
1408  Karenside  2018-04-19 08:42:07  26.45  9293756968552             5   
1409  Karenside  2018-03-15 15:11:23  31.89  5438262479794             5   
1410  Karenside  2018-01-25 03:33:23  19.60  4716956966395             5   
1411  Karenside  2018-03-04 20:36:38  25.21  9107960049863             5   
1412  Karenside  2018-01-12 01:28:33  37.73  1873045802736             5   
1413  Karenside  2018-01-17 12:18:08  11.60  2896161328712             5   
1414  Karenside  2018-03-21 23:26:36  26.69  7728915318388             5   
1415  Karenside  2018-03-03 18:15:32  19.19  1723489219600             5   
1416  Karenside  2018-02-19 20:56:59  17.41  1217247793421             5   

       type  
1389  Urban  
1390  Urban  
1391  Urban  
1392  Urban  
1393  Urban  
1394  Urban  
1395  Urban  
1396  Urban  
1397  Urban  
1398  Urban  
1399  Urban  
1400  Urban  
1401  Urban  
1402  Urban  
1403  Urban  
1404  Urban  
1405  Urban  
1406  Urban  
1407  Urban  
1408  Urban  
1409  Urban  
1410  Urban  
1411  Urban  
1412  Urban  
1413  Urban  
1414  Urban  
1415  Urban  
1416  Urban  "
Lake Ann,"          city                 date   fare        ride_id  driver_count  \
2130  Lake Ann  2018-02-14 17:13:40  42.13  6192401377301             3   
2131  Lake Ann  2018-04-30 11:42:13  14.56  5470772614012             3   
2132  Lake Ann  2018-03-06 08:49:32  13.61  1257553992293             3   
2133  Lake Ann  2018-05-07 20:40:29  24.89  7356790519585             3   
2134  Lake Ann  2018-01-15 19:40:34  28.15  3602888331541             3   
2135  Lake Ann  2018-01-24 06:29:33  32.31  2985167321961             3   
2136  Lake Ann  2018-02-16 07:08:25  39.80  1712081170198             3   
2137  Lake Ann  2018-03-30 17:23:54  23.87  5126729976893             3   
2138  Lake Ann  2018-01-10 04:20:54  18.22  2895881593219             3   
2139  Lake Ann  2018-02-08 10:30:53  40.27  3079663500261             3   
2140  Lake Ann  2018-03-13 05:28:21  45.43   335807761084             3   
2141  Lake Ann  2018-05-02 06:15:27  47.44  9066125697564             3   

          type  
2130  Suburban  
2131  Suburban  
2132  Suburban  
2133  Suburban  
2134  Suburban  
2135  Suburban  
2136  Suburban  
2137  Suburban  
2138  Suburban  
2139  Suburban  
2140  Suburban  
2141  Suburban  "
Lake Danielberg,"                 city                 date   fare        ride_id  \
1417  Lake Danielberg  2018-02-24 12:05:12   9.63  9149328902854   
1418  Lake Danielberg  2018-02-13 11:01:59  43.96   100023890906   
1419  Lake Danielberg  2018-03-17 19:23:29  10.18  4714399161872   
1420  Lake Danielberg  2018-02-24 19:34:24  34.82  2442272882270   
1421  Lake Danielberg  2018-02-28 15:08:06  44.96  6319592522765   
1422  Lake Danielberg  2018-01-07 09:41:54  17.39  4355535554709   
1423  Lake Danielberg  2018-02-08 05:58:51  10.31  2464526787162   
1424  Lake Danielberg  2018-03-28 09:56:51  28.53  9808251785117   
1425  Lake Danielberg  2018-04-28 04:00:40  39.82  7889097267847   
1426  Lake Danielberg  2018-01-16 11:59:09  20.07  8448605657090   
1427  Lake Danielberg  2018-03-20 05:37:35  33.90    25082058503   
1428  Lake Danielberg  2018-03-21 19:46:43  14.12  8573675679656   
1429  Lake Danielberg  2018-01-28 15:49:50  25.98  1418324640212   
1430  Lake Danielberg  2018-02-08 05:26:40  22.74  9524007172214   
1431  Lake Danielberg  2018-02-09 19:09:28  10.62  9241723273680   
1432  Lake Danielberg  2018-01-21 12:52:23  14.09  9568308937660   
1433  Lake Danielberg  2018-05-03 15:35:53  19.97   554189360191   
1434  Lake Danielberg  2018-01-14 22:04:23  24.14  7958893128864   
1435  Lake Danielberg  2018-01-05 17:44:41  28.79  9792091934593   
1436  Lake Danielberg  2018-02-04 17:32:55  24.49   859545474575   
1437  Lake Danielberg  2018-02-23 13:51:10   9.25  8304102117881   
1438  Lake Danielberg  2018-02-06 04:11:24  29.96  2331999439549   
1439  Lake Danielberg  2018-03-05 23:23:36  44.77   904234510499   
1440  Lake Danielberg  2018-02-06 19:59:52  30.31  3396701278037   
1441  Lake Danielberg  2018-02-17 05:30:12  11.70  4874329095698   
1442  Lake Danielberg  2018-04-12 05:18:16  41.45  5338695664074   

      driver_count   type  
1417            19  Urban  
1418            19  Urban  
1419            19  Urban  
1420            19  Urban  
1421            19  Urban  
1422            19  Urban  
1423            19  Urban  
1424            19  Urban  
1425            19  Urban  
1426            19  Urban  
1427            19  Urban  
1428            19  Urban  
1429            19  Urban  
1430            19  Urban  
1431            19  Urban  
1432            19  Urban  
1433            19  Urban  
1434            19  Urban  
1435            19  Urban  
1436            19  Urban  
1437            19  Urban  
1438            19  Urban  
1439            19  Urban  
1440            19  Urban  
1441            19  Urban  
1442            19  Urban  "
Lake Jamie,"            city                 date   fare        ride_id  driver_count  \
2337  Lake Jamie  2018-03-13 06:41:49  26.09  1599158550738             4   
2338  Lake Jamie  2018-04-30 21:26:22  37.33  6755483470287             4   
2339  Lake Jamie  2018-01-18 07:36:46  43.57  1174957961925             4   
2340  Lake Jamie  2018-02-25 23:46:02  28.65  5815763839331             4   
2341  Lake Jamie  2018-04-19 04:32:47  16.29  3518682119233             4   
2342  Lake Jamie  2018-04-29 01:58:44  54.22  2489264790267             4   

       type  
2337  Rural  
2338  Rural  
2339  Rural  
2340  Rural  
2341  Rural  
2342  Rural  "
Lake Jonathanshire,"                  city                 date   fare        ride_id  \
0   Lake Jonathanshire  2018-01-14 10:14:22  13.83  5739410935873   
1   Lake Jonathanshire  2018-04-07 20:51:11  31.25  4441251834598   
2   Lake Jonathanshire  2018-03-09 23:45:55  19.89  2389495660448   
3   Lake Jonathanshire  2018-04-07 18:09:21  24.28  7796805191168   
4   Lake Jonathanshire  2018-01-02 14:14:50  13.89   424254840012   
5   Lake Jonathanshire  2018-04-06 11:30:32  16.84  6164453571846   
6   Lake Jonathanshire  2018-03-21 00:18:34  37.95  8353656732934   
7   Lake Jonathanshire  2018-01-28 00:07:00   5.67  9756573174778   
8   Lake Jonathanshire  2018-01-24 12:24:22  34.65  3319117904437   
9   Lake Jonathanshire  2018-03-24 16:27:49  14.94  1670908453476   
10  Lake Jonathanshire  2018-04-11 22:10:30  12.81  5999870428814   
11  Lake Jonathanshire  2018-01-23 21:43:16  21.11  7711472105447   
12  Lake Jonathanshire  2018-01-29 00:19:07  41.05  6649692036139   
13  Lake Jonathanshire  2018-03-22 14:33:32  18.72  4675968803527   
14  Lake Jonathanshire  2018-04-16 20:26:30  32.47  1013873953228   
15  Lake Jonathanshire  2018-04-11 19:49:34  25.92  8533808747676   
16  Lake Jonathanshire  2018-04-09 21:41:30  15.96   577276092645   
17  Lake Jonathanshire  2018-01-16 09:27:03  26.27  3267656258507   
18  Lake Jonathanshire  2018-01-21 12:12:56  37.25  2966536034637   
19  Lake Jonathanshire  2018-04-11 21:32:27  22.48  3505458786874   
20  Lake Jonathanshire  2018-02-16 01:49:45  17.58  3641777572467   
21  Lake Jonathanshire  2018-01-17 13:15:58  28.42  6544222037368   
22  Lake Jonathanshire  2018-01-21 09:48:28  22.36  2522096563712   
23  Lake Jonathanshire  2018-02-23 06:10:30  26.63  5372487991955   

    driver_count   type  
0              5  Urban  
1              5  Urban  
2              5  Urban  
3              5  Urban  
4              5  Urban  
5              5  Urban  
6              5  Urban  
7              5  Urban  
8              5  Urban  
9              5  Urban  
10             5  Urban  
11             5  Urban  
12             5  Urban  
13             5  Urban  
14             5  Urban  
15             5  Urban  
16             5  Urban  
17             5  Urban  
18             5  Urban  
19             5  Urban  
20             5  Urban  
21             5  Urban  
22             5  Urban  
23             5  Urban  "
Lake Latoyabury,"                 city                 date   fare        ride_id  \
2276  Lake Latoyabury  2018-02-23 21:12:24  47.90  3269652929887   
2277  Lake Latoyabury  2018-05-06 08:57:56  51.80  4018025271936   
2278  Lake Latoyabury  2018-04-02 21:00:22  13.46  8232864757802   
2279  Lake Latoyabury  2018-01-22 12:42:55  13.50  8493335787500   
2280  Lake Latoyabury  2018-04-22 16:56:46  38.46  1671918742352   
2281  Lake Latoyabury  2018-04-16 21:12:48  24.10  4896030744313   
2282  Lake Latoyabury  2018-03-29 09:11:30  13.84  7906858980361   
2283  Lake Latoyabury  2018-01-24 13:32:12  34.74  5962674963447   
2284  Lake Latoyabury  2018-04-14 07:06:11  11.94  2040674187360   
2285  Lake Latoyabury  2018-02-25 04:10:19  16.18  8492924830016   
2286  Lake Latoyabury  2018-01-30 00:05:47  20.76  9018727594352   

      driver_count   type  
2276             2  Rural  
2277             2  Rural  
2278             2  Rural  
2279             2  Rural  
2280             2  Rural  
2281             2  Rural  
2282             2  Rural  
2283             2  Rural  
2284             2  Rural  
2285             2  Rural  
2286             2  Rural  "
Lake Omar,"           city                 date   fare        ride_id  driver_count  \
1654  Lake Omar  2018-01-17 21:33:35  21.71   966911700371            22   
1655  Lake Omar  2018-03-26 05:52:39  48.26  5014086961990            22   
1656  Lake Omar  2018-04-06 20:29:14  40.55  8969991191734            22   
1657  Lake Omar  2018-02-26 11:53:18  12.49  4144926815389            22   
1658  Lake Omar  2018-01-17 18:29:58  28.54  8212828472590            22   
1659  Lake Omar  2018-03-03 13:17:20  33.97  1570556786998            22   
1660  Lake Omar  2018-03-29 20:14:14  14.77  6602868027942            22   
1661  Lake Omar  2018-01-17 04:55:14  35.94  8675080477848            22   
1662  Lake Omar  2018-04-13 23:28:53  25.61  3667785871064            22   
1663  Lake Omar  2018-01-03 01:16:44  14.61  7117229626058            22   
1664  Lake Omar  2018-04-15 16:39:18  45.64  3815903694990            22   
1665  Lake Omar  2018-05-05 23:39:30  12.45  6384097735231            22   
1666  Lake Omar  2018-04-13 07:09:45  24.90  9454078998713            22   
1667  Lake Omar  2018-02-20 21:56:22  33.61  2721355482706            22   

          type  
1654  Suburban  
1655  Suburban  
1656  Suburban  
1657  Suburban  
1658  Suburban  
1659  Suburban  
1660  Suburban  
1661  Suburban  
1662  Suburban  
1663  Suburban  
1664  Suburban  
1665  Suburban  
1666  Suburban  
1667  Suburban  "
Lake Robertside,"                 city                 date   fare        ride_id  \
1754  Lake Robertside  2018-01-11 20:17:36  46.51  6574333011308   
1755  Lake Robertside  2018-03-05 11:48:59  29.12  4058488101142   
1756  Lake Robertside  2018-04-30 20:45:11  22.26   202043410246   
1757  Lake Robertside  2018-03-18 08:04:49  44.21  9839854233835   
1758  Lake Robertside  2018-01-13 18:22:18  28.37  5199680612896   
1759  Lake Robertside  2018-04-10 03:39:14  34.14  9363510386967   
1760  Lake Robertside  2018-01-23 00:24:51  46.83  3574535047962   
1761  Lake Robertside  2018-02-05 03:17:09  21.45  3670276742040   
1762  Lake Robertside  2018-04-01 03:17:42  28.07  1677403080435   
1763  Lake Robertside  2018-03-27 08:12:04  29.07  2044761835165   
1764  Lake Robertside  2018-01-14 19:24:50  21.46  2932610988134   
1765  Lake Robertside  2018-04-02 08:53:30  21.31  4627574450527   
1766  Lake Robertside  2018-03-12 06:05:13  31.23  3347928183611   
1767  Lake Robertside  2018-03-14 19:44:33  35.79  8739155644976   
1768  Lake Robertside  2018-02-24 06:25:27  41.57  9698934979724   
1769  Lake Robertside  2018-03-30 00:54:10  16.53    30234681362   
1770  Lake Robertside  2018-01-23 00:46:21  14.29  2342891922329   
1771  Lake Robertside  2018-02-10 15:11:49  20.98  7334654996000   
1772  Lake Robertside  2018-01-25 21:44:01  48.81  6513320580236   
1773  Lake Robertside  2018-01-13 04:32:34  44.66  1757337269943   
1774  Lake Robertside  2018-04-27 06:20:30  28.29  9595531359907   
1775  Lake Robertside  2018-04-07 06:35:19  46.50  5127948881753   
1776  Lake Robertside  2018-02-16 07:14:19  47.31  6267383613454   
1777  Lake Robertside  2018-02-12 09:45:02  20.03  9626340588797   
1778  Lake Robertside  2018-04-03 03:27:45  12.76  1301757653884   

      driver_count      type  
1754             4  Suburban  
1755             4  Suburban  
1756             4  Suburban  
1757             4  Suburban  
1758             4  Suburban  
1759             4  Suburban  
1760             4  Suburban  
1761             4  Suburban  
1762             4  Suburban  
1763             4  Suburban  
1764             4  Suburban  
1765             4  Suburban  
1766             4  Suburban  
1767             4  Suburban  
1768             4  Suburban  
1769             4  Suburban  
1770             4  Suburban  
1771             4  Suburban  
1772             4  Suburban  
1773             4  Suburban  
1774             4  Suburban  
1775             4  Suburban  
1776             4  Suburban  
1777             4  Suburban  
1778             4  Suburban  "
Lake Scott,"            city                 date   fare        ride_id  driver_count  \
1972  Lake Scott  2018-01-10 11:08:48  37.96  8130669690525            23   
1973  Lake Scott  2018-04-29 22:08:22  25.75  4959514979080            23   
1974  Lake Scott  2018-03-26 08:40:45  26.24  1980313728671            23   
1975  Lake Scott  2018-05-07 12:33:26  21.72  7626061808220            23   
1976  Lake Scott  2018-01-03 17:02:29  47.97  8024881377404            23   
1977  Lake Scott  2018-01-30 02:27:30  48.78  1362375316483            23   
1978  Lake Scott  2018-02-18 01:12:45  38.47  1402633823343            23   
1979  Lake Scott  2018-01-24 19:21:15  47.83  6812435792979            23   
1980  Lake Scott  2018-03-16 23:48:07  28.99  6200936237127            23   
1981  Lake Scott  2018-05-05 05:58:08  18.48  7988533791936            23   
1982  Lake Scott  2018-05-02 19:14:47  35.54  8218974324882            23   
1983  Lake Scott  2018-01-24 08:27:55  23.80  8229383253021            23   
1984  Lake Scott  2018-02-18 11:38:56  47.37  2725683739303            23   
1985  Lake Scott  2018-03-16 18:07:57  20.10  5406585974241            23   
1986  Lake Scott  2018-02-02 05:37:58  26.45  1380579812273            23   
1987  Lake Scott  2018-02-02 14:18:01  17.55  3947371887816            23   
1988  Lake Scott  2018-02-22 06:26:20  37.51  2591847562779            23   
1989  Lake Scott  2018-01-11 00:04:46  23.44  8557671784736            23   

          type  
1972  Suburban  
1973  Suburban  
1974  Suburban  
1975  Suburban  
1976  Suburban  
1977  Suburban  
1978  Suburban  
1979  Suburban  
1980  Suburban  
1981  Suburban  
1982  Suburban  
1983  Suburban  
1984  Suburban  
1985  Suburban  
1986  Suburban  
1987  Suburban  
1988  Suburban  
1989  Suburban  "
Lake Scottton,"              city                 date   fare        ride_id  driver_count  \
897  Lake Scottton  2018-02-18 09:22:35  25.02  3909343123179            58   
898  Lake Scottton  2018-05-05 11:21:47  18.77   405381774029            58   
899  Lake Scottton  2018-03-26 00:49:34   9.79  1827900502613            58   
900  Lake Scottton  2018-04-24 11:54:24   5.31  9668336101351            58   
901  Lake Scottton  2018-02-07 05:08:45  10.76  4201252290232            58   
902  Lake Scottton  2018-02-15 06:49:06  22.75  8382035977413            58   
903  Lake Scottton  2018-05-03 22:33:04   9.01  1289762706583            58   
904  Lake Scottton  2018-03-25 21:46:20  36.92  7043639906896            58   
905  Lake Scottton  2018-01-18 02:32:38  31.92  5706292854110            58   
906  Lake Scottton  2018-02-05 11:47:56  24.54  3770264244362            58   
907  Lake Scottton  2018-01-28 02:32:37  23.95  9483395581537            58   
908  Lake Scottton  2018-05-03 15:26:01  25.68   771160797894            58   
909  Lake Scottton  2018-01-11 19:18:14  31.31  9305780926672            58   
910  Lake Scottton  2018-04-11 04:26:34  22.03  2026817631440            58   
911  Lake Scottton  2018-01-21 04:20:36  21.81   294152016280            58   
912  Lake Scottton  2018-04-19 21:32:00  37.67  5487285317750            58   
913  Lake Scottton  2018-04-08 11:19:22  44.03  9052901892070            58   
914  Lake Scottton  2018-05-08 13:10:18  18.04  5616262558026            58   
915  Lake Scottton  2018-02-08 17:29:38  34.95  7928828679563            58   
916  Lake Scottton  2018-03-29 13:33:11  35.36  3706314280455            58   
917  Lake Scottton  2018-01-13 13:34:04  24.81   395502999618            58   
918  Lake Scottton  2018-02-27 07:09:55   9.43  8167805104097            58   
919  Lake Scottton  2018-04-02 21:10:19  43.20  3927212153065            58   
920  Lake Scottton  2018-04-18 23:06:40   4.36  5843811924401            58   

      type  
897  Urban  
898  Urban  
899  Urban  
900  Urban  
901  Urban  
902  Urban  
903  Urban  
904  Urban  
905  Urban  
906  Urban  
907  Urban  
908  Urban  
909  Urban  
910  Urban  
911  Urban  
912  Urban  
913  Urban  
914  Urban  
915  Urban  
916  Urban  
917  Urban  
918  Urban  
919  Urban  
920  Urban  "
Leahton,"        city                 date   fare        ride_id  driver_count   type
403  Leahton  2018-02-26 18:42:15   8.85  6966668662612            17  Urban
404  Leahton  2018-05-05 10:34:50  17.05  5846586406028            17  Urban
405  Leahton  2018-04-02 17:39:37  22.76  5808733389189            17  Urban
406  Leahton  2018-02-21 20:37:56  24.13  6759666489394            17  Urban
407  Leahton  2018-02-13 11:40:59  16.79  4744794513785            17  Urban
408  Leahton  2018-01-27 08:09:59  29.36  2921814447813            17  Urban
409  Leahton  2018-02-28 13:10:56   9.08  8197500470005            17  Urban
410  Leahton  2018-01-13 00:03:43   9.37  4669655714135            17  Urban
411  Leahton  2018-01-08 11:48:08  39.81   457901817044            17  Urban
412  Leahton  2018-02-15 17:00:16  25.84  9242697245895            17  Urban
413  Leahton  2018-03-06 17:06:51  41.29  3310674816591            17  Urban
414  Leahton  2018-03-31 02:08:34   4.65  2204196907107            17  Urban
415  Leahton  2018-02-23 01:19:01   7.08  3744450559493            17  Urban
416  Leahton  2018-02-04 08:07:51  15.37  9588333638752            17  Urban
417  Leahton  2018-02-05 18:06:22   8.38  5895519228312            17  Urban
418  Leahton  2018-04-13 10:54:14  18.25  6160383330317            17  Urban
419  Leahton  2018-01-15 02:30:19  21.95  1795517114461            17  Urban
420  Leahton  2018-02-28 20:02:59  31.01  2116500207936            17  Urban
421  Leahton  2018-03-06 20:26:06  14.87  3839886060948            17  Urban
422  Leahton  2018-03-03 01:24:39  43.44  4290916547911            17  Urban
423  Leahton  2018-03-13 09:17:41  36.79  6214133326256            17  Urban"
Lewishaven,"            city                 date   fare        ride_id  driver_count  \
2118  Lewishaven  2018-04-19 01:08:58  21.92  7108986085790            23   
2119  Lewishaven  2018-04-20 03:54:49  21.23  8139519107206            23   
2120  Lewishaven  2018-04-27 02:28:49  14.01  6524982895248            23   
2121  Lewishaven  2018-01-15 15:04:33  22.44  9661336278580            23   
2122  Lewishaven  2018-03-02 07:48:06  33.22   810001942984            23   
2123  Lewishaven  2018-01-02 17:52:38  20.68  8843800703298            23   
2124  Lewishaven  2018-01-18 04:09:11  32.13  2820584591613            23   
2125  Lewishaven  2018-02-22 14:40:05  20.35  3262613628904            23   
2126  Lewishaven  2018-01-20 12:47:59  35.00  5772262690378            23   
2127  Lewishaven  2018-04-27 07:18:32  18.56  4919827701525            23   
2128  Lewishaven  2018-04-12 15:01:08  49.15  6411391533857            23   
2129  Lewishaven  2018-03-29 07:24:39  14.21   126282973686            23   

          type  
2118  Suburban  
2119  Suburban  
2120  Suburban  
2121  Suburban  
2122  Suburban  
2123  Suburban  
2124  Suburban  
2125  Suburban  
2126  Suburban  
2127  Suburban  
2128  Suburban  
2129  Suburban  "
Lewisland,"           city                 date   fare        ride_id  driver_count  \
1825  Lewisland  2018-02-14 17:38:17  42.31   580385794188             4   
1826  Lewisland  2018-01-30 15:08:13  32.40  5099208436594             4   
1827  Lewisland  2018-01-25 20:46:18  32.38  8332226417129             4   
1828  Lewisland  2018-04-08 19:51:30  35.16  5715574777818             4   
1829  Lewisland  2018-01-28 11:38:16  35.60  9368246062437             4   
1830  Lewisland  2018-01-07 17:32:46  17.57  3766610355646             4   
1831  Lewisland  2018-01-25 11:35:50  44.61  7557981038155             4   
1832  Lewisland  2018-03-10 02:11:51  40.27  6284436941920             4   
1833  Lewisland  2018-02-27 18:56:43  36.26  6392138211408             4   
1834  Lewisland  2018-02-21 23:06:09  23.30  7496381116004             4   
1835  Lewisland  2018-03-28 01:32:07  43.77  7963826965157             4   
1836  Lewisland  2018-02-06 20:33:58  33.22  5526285388398             4   
1837  Lewisland  2018-03-01 04:34:45  43.77  5013467166832             4   
1838  Lewisland  2018-02-18 12:17:12  23.87  4513268292101             4   
1839  Lewisland  2018-02-11 09:00:54  30.56  5326773625369             4   
1840  Lewisland  2018-01-30 14:09:33  46.70  9374525917640             4   
1841  Lewisland  2018-01-23 18:17:47  26.69  4360442122613             4   

          type  
1825  Suburban  
1826  Suburban  
1827  Suburban  
1828  Suburban  
1829  Suburban  
1830  Suburban  
1831  Suburban  
1832  Suburban  
1833  Suburban  
1834  Suburban  
1835  Suburban  
1836  Suburban  
1837  Suburban  
1838  Suburban  
1839  Suburban  
1840  Suburban  
1841  Suburban  "
Liumouth,"          city                 date   fare        ride_id  driver_count   type
1298  Liumouth  2018-01-11 17:15:17  36.78  1464517778842            69  Urban
1299  Liumouth  2018-01-15 07:55:34  14.55  4379351603939            69  Urban
1300  Liumouth  2018-04-12 03:38:12  43.34  7857233769715            69  Urban
1301  Liumouth  2018-02-01 20:17:16  24.81  5470070391967            69  Urban
1302  Liumouth  2018-03-30 03:13:00   4.66  3164443361610            69  Urban
1303  Liumouth  2018-04-14 06:43:14  31.63  6166289534408            69  Urban
1304  Liumouth  2018-03-22 04:06:56  33.10  3678560093519            69  Urban
1305  Liumouth  2018-03-17 19:21:42  19.05  9118269983987            69  Urban
1306  Liumouth  2018-04-28 00:26:35   5.42  8026921363989            69  Urban
1307  Liumouth  2018-02-22 03:55:59   6.39  8116526250811            69  Urban
1308  Liumouth  2018-03-06 07:44:32  23.53  2430165353440            69  Urban
1309  Liumouth  2018-01-17 16:17:18  33.29  3424319492696            69  Urban
1310  Liumouth  2018-02-27 18:08:19  43.31  1510929985528            69  Urban
1311  Liumouth  2018-01-05 19:32:37  27.02  3773616513642            69  Urban
1312  Liumouth  2018-04-11 13:52:28  15.55  6828487158380            69  Urban
1313  Liumouth  2018-01-01 00:08:16  37.91  5673666505216            69  Urban
1314  Liumouth  2018-01-04 03:16:36   9.10  8147675539090            69  Urban
1315  Liumouth  2018-04-14 21:17:20  38.95    14588103145            69  Urban
1316  Liumouth  2018-03-16 06:31:29  34.20  2541738362957            69  Urban
1317  Liumouth  2018-03-27 12:12:35  44.27   981646095196            69  Urban
1318  Liumouth  2018-01-16 21:55:41   6.02  3852178705457            69  Urban
1319  Liumouth  2018-03-22 20:35:56  39.96  6162501769368            69  Urban
1320  Liumouth  2018-04-14 14:58:09  25.28  7891750319251            69  Urban
1321  Liumouth  2018-04-29 06:57:26  23.99   819442443593            69  Urban
1322  Liumouth  2018-01-18 15:26:16  20.68   984551570260            69  Urban
1323  Liumouth  2018-03-03 05:13:18  26.60  4278966939061            69  Urban
1324  Liumouth  2018-01-04 21:06:42  34.77  8500621051587            69  Urban
1325  Liumouth  2018-04-29 19:55:36  32.10  2696753605913            69  Urban
1326  Liumouth  2018-03-06 04:42:31  37.40   602124109449            69  Urban
1327  Liumouth  2018-01-30 08:51:20  22.90  2852059249491            69  Urban
1328  Liumouth  2018-04-12 02:27:20  10.53  8954520159231            69  Urban
1329  Liumouth  2018-04-02 16:53:26  25.56  9544292256253            69  Urban
1330  Liumouth  2018-02-28 15:20:17  30.30  2081810970989            69  Urban"
