city,date,fare,ride_id,driver_count,type
Harringtonfort,2018-03-10 10:11:37,19.02,6717313402790,4,Rural
Harringtonfort,2018-02-26 07:03:11,54.66,9201585331171,4,Rural
Harringtonfort,2018-01-09 15:30:35,31.84,3730685356921,4,Rural
West Heather,2018-03-12 04:22:26,26.55,7035849392668,4,Rural
West Heather,2018-02-22 09:01:37,17.4,8702491506161,4,Rural
West Heather,2018-02-22 01:46:43,33.38,5551691454078,4,Rural
West Heather,2018-02-04 16:29:23,13.97,7118893881453,4,Rural
West Heather,2018-04-18 19:33:12,46.6,3671003215967,4,Rural
West Heather,2018-03-02 21:04:10,20.99,5766454453070,4,Rural
West Heather,2018-03-06 20:06:51,48.11,2570548892682,4,Rural
Bradshawfurt,2018-01-30 10:55:23,51.39,1328274868072,7,Rural
Penaborough,2018-01-22 15:36:24,10.11,4129933467653,6,Rural
Newtonview,2018-01-08 06:19:45,19.39,5350347217506,1,Rural
Harringtonfort,2018-01-06 07:38:40,47.33,3849747342021,4,Rural
Lake Jamie,2018-04-19 04:32:47,16.29,3518682119233,4,Rural
South Marychester,2018-01-02 11:18:32,52.12,3454018971635,1,Rural
Lake Jamie,2018-04-29 01:58:44,54.22,2489264790267,4,Rural
South Marychester,2018-02-21 19:16:48,55.4,8822356392057,1,Rural
South Marychester,2018-01-15 21:44:26,30.26,3837056996776,1,Rural
South Marychester,2018-03-27 12:07:50,34.42,4230150157651,1,Rural
South Marychester,2018-02-25 19:06:00,54.66,3137562921713,1,Rural
South Marychester,2018-04-23 12:21:59,25.94,2936618556180,1,Rural
South Marychester,2018-01-19 11:40:46,49.44,90058815985,1,Rural
Jessicaport,2018-01-14 07:09:17,18.05,5405362355006,1,Rural
Jessicaport,2018-04-13 16:08:11,39.89,6511242590852,1,Rural
Jessicaport,2018-03-18 16:59:40,33.72,3046889917159,1,Rural
Jessicaport,2018-05-01 08:14:47,22.44,3725278487786,1,Rural
Jessicaport,2018-01-31 17:57:25,58.29,623154556195,1,Rural
South Jennifer,2018-04-01 09:32:45,21.63,9135979586871,7,Rural
Jessicaport,2018-01-01 09:45:36,43.69,2424875833354,1,Rural
South Saramouth,2018-04-12 18:11:50,57.23,5081198789583,7,Rural
South Jennifer,2018-04-05 14:35:42,32.2,683983658392,7,Rural
South Jennifer,2018-04-02 10:26:50,14.11,3828267773041,7,Rural
South Jennifer,2018-04-10 20:46:11,43.25,623928772332,7,Rural
South Jennifer,2018-01-30 01:40:16,37.05,9545375482385,7,Rural
South Jennifer,2018-03-11 00:51:24,49.82,1145342227278,7,Rural
South Saramouth,2018-02-20 16:32:36,44.29,3622365199969,7,Rural
South Saramouth,2018-01-28 15:55:33,31.25,7118046558393,7,Rural
South Saramouth,2018-03-27 21:07:16,11.87,170351888128,7,Rural
Lake Jamie,2018-02-25 23:46:02,28.65,5815763839331,4,Rural
Lake Jamie,2018-03-13 06:41:49,26.09,1599158550738,4,Rural
Lake Jamie,2018-04-30 21:26:22,37.33,6755483470287,4,Rural
South Jennifer,2018-03-07 19:10:13,48.79,9730627367446,7,Rural
Lake Jamie,2018-01-18 07:36:46,43.57,1174957961925,4,Rural
