city,date,fare,ride_id,driver_count,type
West Josephberg,2018-04-12 00:11:17,15.49,5118230200567,45,Urban
West Heidi,2018-04-17 00:03:53,8.91,7617129474198,28,Urban
Loganberg,2018-04-01 01:06:03,8.23,678728883160,23,Urban
New Paulton,2018-03-15 04:48:54,4.6,9741461074247,44,Urban
West Patrickchester,2018-03-19 05:46:20,40.86,898889456779,25,Urban
Deanville,2018-01-04 13:30:18,4.56,6423110181560,49,Urban
Rodneyfort,2018-04-29 00:20:22,44.28,6979257207125,34,Urban
South Jack,2018-03-06 04:28:35,34.58,3908451377344,46,Urban
Port Samanthamouth,2018-03-15 09:03:59,5.62,6911793332732,57,Urban
South Latoya,2018-02-12 16:31:30,28.92,5779826808279,10,Urban
New Paulville,2018-02-27 11:17:56,43.25,793208410091,44,Urban
South Michelleport,2018-03-04 18:24:09,30.24,2343912425577,72,Urban
North Jasmine,2018-02-27 01:34:44,35.31,9250348453537,33,Urban
New Kimberlyborough,2018-02-07 01:10:11,9.34,7992781920789,33,Urban
South Karenland,2018-04-25 05:20:00,36.71,7085374615497,4,Urban
Simpsonburgh,2018-01-12 04:35:48,24.83,3151662422628,21,Urban
West Ericstad,2018-04-12 12:08:32,27.69,4567962930203,25,Urban
Hurleymouth,2018-03-22 11:19:58,32.85,8449290696111,36,Urban
Rogerston,2018-01-16 08:38:21,31.34,132229043541,25,Urban
Joneschester,2018-02-07 18:36:22,6.34,2605462716773,39,Urban
Lake Scottton,2018-01-21 04:20:36,21.81,294152016280,58,Urban
South Evanton,2018-02-14 05:55:36,42.5,9953662403430,11,Urban
Jerryton,2018-03-25 12:14:58,9.64,9483701056322,64,Urban
Port David,2018-01-07 20:03:19,20.49,5846260665949,7,Urban
New Jacobville,2018-02-04 04:57:28,27.63,4329146429572,50,Urban
Valentineton,2018-03-08 07:57:06,43.59,5859669462309,45,Urban
West Christopherberg,2018-01-30 08:11:49,16.85,7337258118847,32,Urban
Port Angela,2018-02-14 13:00:19,42.04,896909208063,67,Urban
Barajasview,2018-01-15 02:59:07,19.52,8268107272481,26,Urban
Port Frank,2018-01-05 18:22:02,35.35,1918776405433,23,Urban
East Kaylahaven,2018-02-28 04:13:57,25.96,3662521920044,65,Urban
West Robert,2018-02-15 04:21:47,12.28,1442502460354,39,Urban
Huntermouth,2018-02-10 23:32:13,25.79,1880379662035,37,Urban
Grahamburgh,2018-03-27 22:14:21,4.63,7324442340207,61,Urban
Justinberg,2018-04-01 23:46:28,40.87,8957673981865,39,Urban
Martinezhaven,2018-03-19 15:31:26,5.3,264337981979,25,Urban
Reynoldsfurt,2018-02-14 11:25:10,39.4,9070692324754,67,Urban
North Markport,2018-04-28 04:34:56,40.46,2567890241480,22,Urban
Richardfort,2018-02-24 08:40:38,13.93,5628545007794,38,Urban
